"Perioden";"Regio's";"Bevolking/Bevolkingssamenstelling op 1 januari/Totale bevolking (aantal)";"Bevolking/Bevolkingssamenstelling op 1 januari/Bevolkingsdichtheid (aantal inwoners per km²)"
"2023";"Noordenveld";31591;159
"2020";"Noorder-Koggenland";;
"2021";"Noorder-Koggenland";;
"2022";"Noorder-Koggenland";;
"2023";"Noorder-Koggenland";;
"2020";"Noordoostpolder";47291;103
"2021";"Noordoostpolder";47583;104
"2022";"Noordoostpolder";48048;105
"2023";"Noordoostpolder";49729;109
"2020";"Noordwijk";43508;745
"2021";"Noordwijk";44062;755
"2022";"Noordwijk";44365;760
"2023";"Noordwijk";45179;774
"2020";"Noordwijkerhout";;
"2021";"Noordwijkerhout";;
"2022";"Noordwijkerhout";;
"2023";"Noordwijkerhout";;
"2020";"Nootdorp";;
"2021";"Nootdorp";;
"2022";"Nootdorp";;
"2023";"Nootdorp";;
"2020";"Norg";;
"2021";"Norg";;
"2022";"Norg";;
"2023";"Norg";;
"2020";"Nuenen, Gerwen en Nederwetten";23383;694
"2021";"Nuenen, Gerwen en Nederwetten";23702;703
"2022";"Nuenen, Gerwen en Nederwetten";23826;708
"2023";"Nuenen, Gerwen en Nederwetten";24015;714
"2020";"Nunspeet";27851;216
"2021";"Nunspeet";28021;218
"2022";"Nunspeet";28223;219
"2023";"Nunspeet";28731;223
"2020";"Nuth";;
"2021";"Nuth";;
"2022";"Nuth";;
"2023";"Nuth";;
"2020";"Obdam";;
"2021";"Obdam";;
"2022";"Obdam";;
"2023";"Obdam";;
"2020";"Odoorn";;
"2021";"Odoorn";;
"2022";"Odoorn";;
"2023";"Odoorn";;
"2020";"Oegstgeest";24840;3399
"2021";"Oegstgeest";25064;3430
"2022";"Oegstgeest";25499;3496
"2023";"Oegstgeest";25746;3530
"2020";"Oirschot";18714;184
"2021";"Oirschot";18842;185
"2022";"Oirschot";19061;187
"2023";"Oirschot";19217;189
"2020";"Oisterwijk";26245;411
"2021";"Oisterwijk";32373;404
"2022";"Oisterwijk";32503;406
"2023";"Oisterwijk";32941;411
"2020";"Oldambt";38209;169
"2021";"Oldambt";38277;169
"2022";"Oldambt";38521;170
"2023";"Oldambt";39044;172
"2020";"Oldebroek";23646;242
"2021";"Oldebroek";23760;243
"2022";"Oldebroek";23930;245
"2023";"Oldebroek";24264;248
"2020";"Oldenzaal";31836;1477
"2021";"Oldenzaal";31701;1471
"2022";"Oldenzaal";31741;1473
"2023";"Oldenzaal";31925;1481
"2020";"Olst";;
"2021";"Olst";;
"2022";"Olst";;
"2023";"Olst";;
"2020";"Olst-Wijhe";18252;160
"2021";"Olst-Wijhe";18361;161
"2022";"Olst-Wijhe";18496;163
"2023";"Olst-Wijhe";18682;164
"2020";"Ommen";18009;100
"2021";"Ommen";18295;102
"2022";"Ommen";18457;103
"2023";"Ommen";18955;105
"2020";"Onderbanken";;
"2021";"Onderbanken";;
"2022";"Onderbanken";;
"2023";"Onderbanken";;
"2020";"Oost Gelre";29627;270
"2021";"Oost Gelre";29574;269
"2022";"Oost Gelre";29603;269
"2023";"Oost Gelre";29846;271
"2020";"Oost-, West- en Middelbeers";;
"2021";"Oost-, West- en Middelbeers";;
"2022";"Oost-, West- en Middelbeers";;
"2023";"Oost-, West- en Middelbeers";;
"2020";"Oostburg";;
"2021";"Oostburg";;
"2022";"Oostburg";;
"2023";"Oostburg";;
"2020";"Oosterhesselen";;
"2021";"Oosterhesselen";;
"2022";"Oosterhesselen";;
"2023";"Oosterhesselen";;
"2020";"Oosterhout";55982;783
"2021";"Oosterhout";56206;786
"2022";"Oosterhout";56535;791
"2023";"Oosterhout";57425;804
"2020";"Oostflakkee";;
"2021";"Oostflakkee";;
"2022";"Oostflakkee";;
"2023";"Oostflakkee";;
"2020";"Ooststellingwerf";25469;114
"2021";"Ooststellingwerf";25464;114
"2022";"Ooststellingwerf";25680;115
"2023";"Ooststellingwerf";25837;116
"2020";"Oostzaan";9735;845
"2021";"Oostzaan";9689;841
"2022";"Oostzaan";9639;834
"2023";"Oostzaan";9720;841
"2020";"Ootmarsum";;
"2021";"Ootmarsum";;
"2022";"Ootmarsum";;
"2023";"Ootmarsum";;
"2020";"Opmeer";11836;285
"2021";"Opmeer";12009;289
"2022";"Opmeer";12074;291
"2023";"Opmeer";12180;294
"2020";"Opsterland";29733;132
"2021";"Opsterland";29812;133
"2022";"Opsterland";29791;133
"2023";"Opsterland";30054;134
"2020";"Oss";91915;563
"2021";"Oss";92526;567
"2022";"Oss";93307;576
"2023";"Oss";94437;583
"2020";"Ossendrecht";;
"2021";"Ossendrecht";;
"2022";"Ossendrecht";;
"2023";"Ossendrecht";;
"2020";"Oud en Nieuw Gastel";;
"2021";"Oud en Nieuw Gastel";;
"2022";"Oud en Nieuw Gastel";;
"2023";"Oud en Nieuw Gastel";;
"2020";"Oud-Beijerland";;
"2021";"Oud-Beijerland";;
"2022";"Oud-Beijerland";;
"2023";"Oud-Beijerland";;
"2020";"Oude IJsselstreek";39388;289
"2021";"Oude IJsselstreek";39346;289
"2022";"Oude IJsselstreek";39387;289
"2023";"Oude IJsselstreek";39613;291
"2020";"Oudenbosch";;
"2021";"Oudenbosch";;
"2022";"Oudenbosch";;
"2023";"Oudenbosch";;
"2020";"Ouder-Amstel";14026;583
"2021";"Ouder-Amstel";14125;587
"2022";"Ouder-Amstel";14212;593
"2023";"Ouder-Amstel";14276;596
"2020";"Ouderkerk";;
"2021";"Ouderkerk";;
"2022";"Ouderkerk";;
"2023";"Ouderkerk";;
"2020";"Oudewater";10230;263
"2021";"Oudewater";10138;261
"2022";"Oudewater";10159;261
"2023";"Oudewater";10232;263
"2020";"Overbetuwe";47906;439
"2021";"Overbetuwe";48214;442
"2022";"Overbetuwe";48266;443
"2023";"Overbetuwe";48707;447
"2020";"Papendrecht";32136;3414
"2021";"Papendrecht";32171;3418
"2022";"Papendrecht";32208;3421
"2023";"Papendrecht";32277;3428
"2020";"Peel en Maas";43425;272
"2021";"Peel en Maas";43660;274
"2022";"Peel en Maas";44278;278
"2023";"Peel en Maas";45276;284
"2020";"Peize";;
"2021";"Peize";;
"2022";"Peize";;
"2023";"Peize";;
"2020";"Pekela";12196;249
"2021";"Pekela";12176;248
"2022";"Pekela";12196;249
"2023";"Pekela";12404;253
"2020";"Pijnacker";;
"2021";"Pijnacker";;
"2022";"Pijnacker";;
"2023";"Pijnacker";;
"2020";"Pijnacker-Nootdorp";55308;1491
"2021";"Pijnacker-Nootdorp";55674;1501
"2022";"Pijnacker-Nootdorp";56572;1534
"2023";"Pijnacker-Nootdorp";57672;1564
"2020";"Prinsenbeek";;
"2021";"Prinsenbeek";;
"2022";"Prinsenbeek";;
"2023";"Prinsenbeek";;
"2020";"Purmerend";81249;3509
"2021";"Purmerend";81683;3528
"2022";"Purmerend";92240;985
"2023";"Purmerend";93992;1004
"2020";"Putte";;
"2021";"Putte";;
"2022";"Putte";;
"2023";"Putte";;
"2020";"Putten";24112;283
"2021";"Putten";24365;286
"2022";"Putten";24598;289
"2023";"Putten";24904;292
"2020";"Raalte";37712;221
"2021";"Raalte";37911;222
"2022";"Raalte";38140;223
"2023";"Raalte";38500;225
"2020";"Raamsdonk";;
"2021";"Raamsdonk";;
"2022";"Raamsdonk";;
"2023";"Raamsdonk";;
"2020";"Ravenstein";;
"2021";"Ravenstein";;
"2022";"Ravenstein";;
"2023";"Ravenstein";;
"2020";"Reeuwijk";;
"2021";"Reeuwijk";;
"2022";"Reeuwijk";;
"2023";"Reeuwijk";;
"2020";"Reiderland";;
"2021";"Reiderland";;
"2022";"Reiderland";;
"2023";"Reiderland";;
"2020";"Reimerswaal";22730;223
"2021";"Reimerswaal";22896;225
"2022";"Reimerswaal";22920;225
"2023";"Reimerswaal";23255;229
"2020";"Renkum";31419;684
"2021";"Renkum";31417;684
"2022";"Renkum";31358;682
"2023";"Renkum";31461;685
"2020";"Renswoude";5444;296
"2021";"Renswoude";5556;302
"2022";"Renswoude";5651;307
"2023";"Renswoude";5747;313
"2020";"Reusel";;
"2021";"Reusel";;
"2022";"Reusel";;
"2023";"Reusel";;
"2020";"Reusel-De Mierden";13112;168
"2021";"Reusel-De Mierden";13127;169
"2022";"Reusel-De Mierden";13271;171
"2023";"Reusel-De Mierden";13542;174
"2020";"Rheden";43761;535
"2021";"Rheden";43525;532
"2022";"Rheden";43435;531
"2023";"Rheden";43570;533
"2020";"Rhenen";20119;478
"2021";"Rhenen";20203;480
"2022";"Rhenen";20265;482
"2023";"Rhenen";20329;484
"2020";"Ridderkerk";46189;1948
"2021";"Ridderkerk";46671;1968
"2022";"Ridderkerk";47099;2006
"2023";"Ridderkerk";47477;2022
"2020";"Riethoven";;
"2021";"Riethoven";;
"2022";"Riethoven";;
"2023";"Riethoven";;
"2020";"Rijnsburg";;
"2021";"Rijnsburg";;
"2022";"Rijnsburg";;
"2023";"Rijnsburg";;
"2020";"Rijnwaarden";;
"2021";"Rijnwaarden";;
"2022";"Rijnwaarden";;
"2023";"Rijnwaarden";;
"2020";"Rijnwoude";;
"2021";"Rijnwoude";;
"2022";"Rijnwoude";;
"2023";"Rijnwoude";;
"2020";"Rijsbergen";;
"2021";"Rijsbergen";;
"2022";"Rijsbergen";;
"2023";"Rijsbergen";;
"2020";"Rijssen";;
"2021";"Rijssen";;
"2022";"Rijssen";;
"2023";"Rijssen";;
"2020";"Rijssen-Holten";38177;406
"2021";"Rijssen-Holten";38204;406
"2022";"Rijssen-Holten";38231;406
"2023";"Rijssen-Holten";38493;409
"2020";"Rijswijk (ZH.)";54450;3901
"2021";"Rijswijk (ZH.)";55220;3956
"2022";"Rijswijk (ZH.)";56941;4078
"2023";"Rijswijk (ZH.)";57997;4150
"2020";"Roden";;
"2021";"Roden";;
"2022";"Roden";;
"2023";"Roden";;
"2020";"Roerdalen";20574;233
"2021";"Roerdalen";20580;233
"2022";"Roerdalen";20558;233
"2023";"Roerdalen";20702;235
"2020";"Roermond";58260;958
"2021";"Roermond";58763;966
"2022";"Roermond";59184;976
"2023";"Roermond";59981;989
"2020";"Roggel en Neer";;
"2021";"Roggel en Neer";;
"2022";"Roggel en Neer";;
"2023";"Roggel en Neer";;
"2020";"Rolde";;
"2021";"Rolde";;
"2022";"Rolde";;
"2023";"Rolde";;
"2020";"De Ronde Venen";44456;445
"2021";"De Ronde Venen";44720;448
"2022";"De Ronde Venen";44955;451
"2023";"De Ronde Venen";45572;457
"2020";"Roosendaal";77251;725
"2021";"Roosendaal";77200;725
"2022";"Roosendaal";77244;725
"2023";"Roosendaal";77613;729
"2020";"Roosendaal en Nispen";;
"2021";"Roosendaal en Nispen";;
"2022";"Roosendaal en Nispen";;
"2023";"Roosendaal en Nispen";;
"2020";"Rosmalen";;
"2021";"Rosmalen";;
"2022";"Rosmalen";;
"2023";"Rosmalen";;
"2020";"Rossum";;
"2021";"Rossum";;
"2022";"Rossum";;
"2023";"Rossum";;
"2020";"Rotterdam";651157;2993
"2021";"Rotterdam";651631;2995
"2022";"Rotterdam";655468;3001
"2023";"Rotterdam";663900;3040
"2020";"Rozenburg";;
"2021";"Rozenburg";;
"2022";"Rozenburg";;
"2023";"Rozenburg";;
"2020";"Rozendaal";1704;61
"2021";"Rozendaal";1726;62
"2022";"Rozendaal";1756;63
"2023";"Rozendaal";1754;63
"2020";"Rucphen";22878;355
"2021";"Rucphen";23080;358
"2022";"Rucphen";23326;362
"2023";"Rucphen";23636;367
"2020";"Ruinen";;
"2021";"Ruinen";;
"2022";"Ruinen";;
"2023";"Ruinen";;
"2020";"Ruinerwold";;
"2021";"Ruinerwold";;
"2022";"Ruinerwold";;
"2023";"Ruinerwold";;
"2020";"Ruurlo";;
"2021";"Ruurlo";;
"2022";"Ruurlo";;
"2023";"Ruurlo";;
"2020";"Sas van Gent";;
"2021";"Sas van Gent";;
"2022";"Sas van Gent";;
"2023";"Sas van Gent";;
"2020";"Sassenheim";;
"2021";"Sassenheim";;
"2022";"Sassenheim";;
"2023";"Sassenheim";;
"2020";"Schagen";46483;276
"2021";"Schagen";46532;277
"2022";"Schagen";46833;279
"2023";"Schagen";47450;282
"2020";"Scheemda";;
"2021";"Scheemda";;
"2022";"Scheemda";;
"2023";"Scheemda";;
"2020";"Schermer";;
"2021";"Schermer";;
"2022";"Schermer";;
"2023";"Schermer";;
"2020";"Scherpenzeel";9880;717
"2021";"Scherpenzeel";10128;735
"2022";"Scherpenzeel";10317;748
"2023";"Scherpenzeel";10386;753
"2020";"Schiedam";78730;4417
"2021";"Schiedam";79279;4448
"2022";"Schiedam";79644;4472
"2023";"Schiedam";80628;4528
"2020";"Schiermonnikoog";947;23
"2021";"Schiermonnikoog";931;23
"2022";"Schiermonnikoog";944;22
"2023";"Schiermonnikoog";982;23
"2020";"Schijndel";;
"2021";"Schijndel";;
"2022";"Schijndel";;
"2023";"Schijndel";;
"2020";"Schinnen";;
"2021";"Schinnen";;
"2022";"Schinnen";;
"2023";"Schinnen";;
"2020";"Schipluiden";;
"2021";"Schipluiden";;
"2022";"Schipluiden";;
"2023";"Schipluiden";;
"2020";"Schoonebeek";;
"2021";"Schoonebeek";;
"2022";"Schoonebeek";;
"2023";"Schoonebeek";;
"2020";"Schoonhoven";;
"2021";"Schoonhoven";;
"2022";"Schoonhoven";;
"2023";"Schoonhoven";;
"2020";"Schoorl";;
"2021";"Schoorl";;
"2022";"Schoorl";;
"2023";"Schoorl";;
"2020";"Schouwen-Duiveland";33839;147
"2021";"Schouwen-Duiveland";34065;148
"2022";"Schouwen-Duiveland";34152;149
"2023";"Schouwen-Duiveland";34561;151
"2020";"Sevenum";;
"2021";"Sevenum";;
"2022";"Sevenum";;
"2023";"Sevenum";;
"2020";"Simpelveld";10555;658
"2021";"Simpelveld";10477;654
"2022";"Simpelveld";10425;650
"2023";"Simpelveld";10396;649
"2020";"Sint Anthonis";11664;117
"2021";"Sint Anthonis";11691;118
"2022";"Sint Anthonis";;
"2023";"Sint Anthonis";;
"2020";"Sint-Michielsgestel";29208;500
"2021";"Sint-Michielsgestel";29498;505
"2022";"Sint-Michielsgestel";29731;510
"2023";"Sint-Michielsgestel";30135;516
"2020";"Sint-Oedenrode";;
"2021";"Sint-Oedenrode";;
"2022";"Sint-Oedenrode";;
"2023";"Sint-Oedenrode";;
"2020";"Sittard";;
"2021";"Sittard";;
"2022";"Sittard";;
"2023";"Sittard";;
"2020";"Sittard-Geleen";92429;1170
"2021";"Sittard-Geleen";91743;1161
"2022";"Sittard-Geleen";91719;1167
"2023";"Sittard-Geleen";92234;1173
"2020";"Skarsterlân";;
"2021";"Skarsterlân";;
"2022";"Skarsterlân";;
"2023";"Skarsterlân";;
"2020";"Sleen";;
"2021";"Sleen";;
"2022";"Sleen";;
"2023";"Sleen";;
"2020";"Sliedrecht";25220;1965
"2021";"Sliedrecht";25597;1994
"2022";"Sliedrecht";25897;2016
"2023";"Sliedrecht";26184;2038
"2020";"Slochteren";;
"2021";"Slochteren";;
"2022";"Slochteren";;
"2023";"Slochteren";;
"2020";"Sluis";23210;83
"2021";"Sluis";23166;83
"2022";"Sluis";23141;83
"2023";"Sluis";23243;83
"2020";"Sluis-Aardenburg";;
"2021";"Sluis-Aardenburg";;
"2022";"Sluis-Aardenburg";;
"2023";"Sluis-Aardenburg";;
"2020";"Smallingerland";56150;479
"2021";"Smallingerland";56040;478
"2022";"Smallingerland";55895;477
"2023";"Smallingerland";56098;479
"2020";"Smilde";;
"2021";"Smilde";;
"2022";"Smilde";;
"2023";"Smilde";;
"2020";"Sneek";;
"2021";"Sneek";;
"2022";"Sneek";;
"2023";"Sneek";;
"2020";"Soest";46606;1008
"2021";"Soest";46906;1014
"2022";"Soest";47113;1019
"2023";"Soest";47439;1026
"2020";"Someren";19368;241
"2021";"Someren";19428;242
"2022";"Someren";19701;246
"2023";"Someren";20061;250
"2020";"Son en Breugel";17322;667
"2021";"Son en Breugel";17552;676
"2022";"Son en Breugel";17775;685
"2023";"Son en Breugel";18010;694
"2020";"Spijkenisse";;
"2021";"Spijkenisse";;
"2022";"Spijkenisse";;
"2023";"Spijkenisse";;
"2020";"Sprang-Capelle";;
"2021";"Sprang-Capelle";;
"2022";"Sprang-Capelle";;
"2023";"Sprang-Capelle";;
"2020";"St. Anthonis";;
"2021";"St. Anthonis";;
"2022";"St. Anthonis";;
"2023";"St. Anthonis";;
"2020";"Stad Delden";;
"2021";"Stad Delden";;
"2022";"Stad Delden";;
"2023";"Stad Delden";;
"2020";"Stadskanaal";31686;269
"2021";"Stadskanaal";31754;270
"2022";"Stadskanaal";31851;271
"2023";"Stadskanaal";32135;273
"2020";"Standdaarbuiten";;
"2021";"Standdaarbuiten";;
"2022";"Standdaarbuiten";;
"2023";"Standdaarbuiten";;
"2020";"Staphorst";17145;128
"2021";"Staphorst";17261;129
"2022";"Staphorst";17282;129
"2023";"Staphorst";17628;132
"2020";"Stede Broec";21726;1498
"2021";"Stede Broec";21743;1500
"2022";"Stede Broec";21947;1515
"2023";"Stede Broec";22138;1529
"2020";"Steenbergen";24416;167
"2021";"Steenbergen";24310;166
"2022";"Steenbergen";24333;166
"2023";"Steenbergen";24610;168
"2020";"Steenderen";;
"2021";"Steenderen";;
"2022";"Steenderen";;
"2023";"Steenderen";;
"2020";"Steenwijk";;
"2021";"Steenwijk";;
"2022";"Steenwijk";;
"2023";"Steenwijk";;
"2020";"Steenwijkerland";44126;153
"2021";"Steenwijkerland";44341;154
"2022";"Steenwijkerland";44741;155
"2023";"Steenwijkerland";45376;157
"2020";"Stein (L.)";25007;1186
"2021";"Stein (L.)";24875;1180
"2022";"Stein (L.)";24803;1185
"2023";"Stein (L.)";24772;1184
"2020";"Stichtse Vecht";64931;676
"2021";"Stichtse Vecht";65108;678
"2022";"Stichtse Vecht";65240;679
"2023";"Stichtse Vecht";65771;685
"2020";"Stramproy";;
"2021";"Stramproy";;
"2022";"Stramproy";;
"2023";"Stramproy";;
"2020";"Strijen";;
"2021";"Strijen";;
"2022";"Strijen";;
"2023";"Strijen";;
"2020";"Súdwest-Fryslân";89987;172
"2021";"Súdwest-Fryslân";89999;172
"2022";"Súdwest-Fryslân";90300;173
"2023";"Súdwest-Fryslân";90883;174
"2020";"Susteren";;
"2021";"Susteren";;
"2022";"Susteren";;
"2023";"Susteren";;
"2020";"Swalmen";;
"2021";"Swalmen";;
"2022";"Swalmen";;
"2023";"Swalmen";;
"2020";"Tegelen";;
"2021";"Tegelen";;
"2022";"Tegelen";;
"2023";"Tegelen";;
"2020";"Terheijden";;
"2021";"Terheijden";;
"2022";"Terheijden";;
"2023";"Terheijden";;
"2020";"Terneuzen";54426;217
"2021";"Terneuzen";54463;218
"2022";"Terneuzen";54501;218
"2023";"Terneuzen";54993;220
"2020";"Terschelling";4888;57
"2021";"Terschelling";4870;57
"2022";"Terschelling";4960;57
"2023";"Terschelling";4928;57
"2020";"Teteringen";;
"2021";"Teteringen";;
"2022";"Teteringen";;
"2023";"Teteringen";;
"2020";"Texel";13575;84
"2021";"Texel";13656;84
"2022";"Texel";13687;84
"2023";"Texel";13979;86
"2020";"Teylingen";37440;1319
"2021";"Teylingen";37791;1331
"2022";"Teylingen";37942;1340
"2023";"Teylingen";38510;1360
"2020";"Tholen";25757;176
"2021";"Tholen";26085;178
"2022";"Tholen";26401;180
"2023";"Tholen";26825;183
"2020";"Thorn";;
"2021";"Thorn";;
"2022";"Thorn";;
"2023";"Thorn";;
"2020";"Tiel";42159;1282
"2021";"Tiel";41920;1275
"2022";"Tiel";42277;1289
"2023";"Tiel";42604;1299
"2020";"Tilburg";219789;1892
"2021";"Tilburg";221947;1762
"2022";"Tilburg";224459;1783
"2023";"Tilburg";227707;1809
"2020";"Tubbergen";21275;145
"2021";"Tubbergen";21315;145
"2022";"Tubbergen";21364;145
"2023";"Tubbergen";21408;146
"2020";"Twenterand";33743;318
"2021";"Twenterand";33699;317
"2022";"Twenterand";33718;318
"2023";"Twenterand";33867;319
"2020";"Tynaarlo";33887;237
"2021";"Tynaarlo";33978;238
"2022";"Tynaarlo";34221;240
"2023";"Tynaarlo";34592;242
"2020";"Tytsjerksteradiel";32052;215
"2021";"Tytsjerksteradiel";32060;215
"2022";"Tytsjerksteradiel";32282;217
"2023";"Tytsjerksteradiel";32408;218
"2020";"Ubbergen";;
"2021";"Ubbergen";;
"2022";"Ubbergen";;
"2023";"Ubbergen";;
"2020";"Uden";42119;629
"2021";"Uden";42291;631
"2022";"Uden";;
"2023";"Uden";;
"2020";"Udenhout";;
"2021";"Udenhout";;
"2022";"Udenhout";;
"2023";"Udenhout";;
"2020";"Uitgeest";13666;713
"2021";"Uitgeest";13632;711
"2022";"Uitgeest";13563;708
"2023";"Uitgeest";13472;703
"2020";"Uithoorn";29478;1625
"2021";"Uithoorn";30206;1665
"2022";"Uithoorn";31018;1712
"2023";"Uithoorn";31442;1735
"2020";"Urk";21031;1599
"2021";"Urk";21227;1614
"2022";"Urk";21468;1634
"2023";"Urk";21829;1661
"2020";"Utrecht (gemeente)";357597;3811
"2021";"Utrecht (gemeente)";359370;3830
"2022";"Utrecht (gemeente)";361699;3857
"2023";"Utrecht (gemeente)";367947;3924
"2020";"Utrechtse Heuvelrug";49580;376
"2021";"Utrechtse Heuvelrug";49946;378
"2022";"Utrechtse Heuvelrug";49981;379
"2023";"Utrechtse Heuvelrug";50429;382
"2020";"Vaals";10105;423
"2021";"Vaals";10084;422
"2022";"Vaals";10135;424
"2023";"Vaals";10190;427
"2020";"Valburg";;
"2021";"Valburg";;
"2022";"Valburg";;
"2023";"Valburg";;
"2020";"Valkenburg (ZH.)";;
"2021";"Valkenburg (ZH.)";;
"2022";"Valkenburg (ZH.)";;
"2023";"Valkenburg (ZH.)";;
"2020";"Valkenburg aan de Geul";16367;446
"2021";"Valkenburg aan de Geul";16365;446
"2022";"Valkenburg aan de Geul";16167;440
"2023";"Valkenburg aan de Geul";16423;447
"2020";"Valkenisse";;
"2021";"Valkenisse";;
"2022";"Valkenisse";;
"2023";"Valkenisse";;
"2020";"Valkenswaard";31193;568
"2021";"Valkenswaard";31221;569
"2022";"Valkenswaard";31236;569
"2023";"Valkenswaard";31527;574
"2020";"Veendam";27384;360
"2021";"Veendam";27417;361
"2022";"Veendam";27466;362
"2023";"Veendam";27616;364
"2020";"Veenendaal";66493;3417
"2021";"Veenendaal";66912;3438
"2022";"Veenendaal";67671;3484
"2023";"Veenendaal";68525;3528
"2020";"Veere";21880;165
"2021";"Veere";21953;166
"2022";"Veere";21850;164
"2023";"Veere";22045;166
"2020";"Veghel";;
"2021";"Veghel";;
"2022";"Veghel";;
"2023";"Veghel";;
"2020";"Veldhoven";45466;1435
"2021";"Veldhoven";45500;1436
"2022";"Veldhoven";45822;1446
"2023";"Veldhoven";46417;1465
"2020";"Velsen";68648;1519
"2021";"Velsen";68617;1518
"2022";"Velsen";68482;1521
"2023";"Velsen";68790;1528
"2020";"Venhuizen";;
"2021";"Venhuizen";;
"2022";"Venhuizen";;
"2023";"Venhuizen";;
"2020";"Venlo";101802;819
"2021";"Venlo";101988;821
"2022";"Venlo";102136;823
"2023";"Venlo";103328;832
"2020";"Venray";43614;267
"2021";"Venray";43713;268
"2022";"Venray";43964;269
"2023";"Venray";44628;273
"2020";"Vessem, Wintelre en Knegsel";;
"2021";"Vessem, Wintelre en Knegsel";;
"2022";"Vessem, Wintelre en Knegsel";;
"2023";"Vessem, Wintelre en Knegsel";;
"2020";"Vianen";;
"2021";"Vianen";;
"2022";"Vianen";;
"2023";"Vianen";;
"2020";"Vierlingsbeek";;
"2021";"Vierlingsbeek";;
"2022";"Vierlingsbeek";;
"2023";"Vierlingsbeek";;
"2020";"Vijfheerenlanden";56811;388
"2021";"Vijfheerenlanden";57829;395
"2022";"Vijfheerenlanden";58788;402
"2023";"Vijfheerenlanden";60052;411
"2020";"Vlaardingen";73397;3114
"2021";"Vlaardingen";73924;3137
"2022";"Vlaardingen";74143;3174
"2023";"Vlaardingen";75079;3214
"2020";"Vlagtwedde";;
"2021";"Vlagtwedde";;
"2022";"Vlagtwedde";;
"2023";"Vlagtwedde";;
"2020";"Vledder";;
"2021";"Vledder";;
"2022";"Vledder";;
"2023";"Vledder";;
"2020";"Vleuten-De Meern";;
"2021";"Vleuten-De Meern";;
"2022";"Vleuten-De Meern";;
"2023";"Vleuten-De Meern";;
"2020";"Vlieland";1155;30
"2021";"Vlieland";1194;31
"2022";"Vlieland";1195;29
"2023";"Vlieland";1291;31
"2020";"Vlijmen";;
"2021";"Vlijmen";;
"2022";"Vlijmen";;
"2023";"Vlijmen";;
"2020";"Vlissingen";44360;1293
"2021";"Vlissingen";44358;1293
"2022";"Vlissingen";44585;1297
"2023";"Vlissingen";45150;1314
"2020";"Vlist";;
"2021";"Vlist";;
"2022";"Vlist";;
"2023";"Vlist";;
"2020";"Voerendaal";12475;396
"2021";"Voerendaal";12466;396
"2022";"Voerendaal";12426;394
"2023";"Voerendaal";12405;394
"2020";"Voorburg";;
"2021";"Voorburg";;
"2022";"Voorburg";;
"2023";"Voorburg";;
"2020";"Voorhout";;
"2021";"Voorhout";;
"2022";"Voorhout";;
"2023";"Voorhout";;
"2020";"Voorne aan Zee";;
"2021";"Voorne aan Zee";;
"2022";"Voorne aan Zee";;
"2023";"Voorne aan Zee";73945;607
"2020";"Voorschoten";25596;2297
"2021";"Voorschoten";25650;2302
"2022";"Voorschoten";25627;2306
"2023";"Voorschoten";25665;2309
"2020";"Voorst";24552;200
"2021";"Voorst";24790;202
"2022";"Voorst";24994;203
"2023";"Voorst";25215;205
"2020";"Vorden";;
"2021";"Vorden";;
"2022";"Vorden";;
"2023";"Vorden";;
"2020";"Vries";;
"2021";"Vries";;
"2022";"Vries";;
"2023";"Vries";;
"2020";"Vriezenveen";;
"2021";"Vriezenveen";;
"2022";"Vriezenveen";;
"2023";"Vriezenveen";;
"2020";"Vught";26558;787
"2021";"Vught";31669;527
"2022";"Vught";31783;530
"2023";"Vught";32113;535
"2020";"Waadhoeke";46090;162
"2021";"Waadhoeke";46149;162
"2022";"Waadhoeke";46309;162
"2023";"Waadhoeke";46718;164
"2020";"Waalre";17456;780
"2021";"Waalre";17544;784
"2022";"Waalre";17626;787
"2023";"Waalre";17980;803
"2020";"Waalwijk";48637;753
"2021";"Waalwijk";48815;756
"2022";"Waalwijk";49342;765
"2023";"Waalwijk";49952;774
"2020";"Waddinxveen";29291;1055
"2021";"Waddinxveen";30479;1097
"2022";"Waddinxveen";31342;1129
"2023";"Waddinxveen";32601;1175
"2020";"Wageningen";39664;1304
"2021";"Wageningen";39635;1303
"2022";"Wageningen";39939;1313
"2023";"Wageningen";40960;1347
"2020";"Warmond";;
"2021";"Warmond";;
"2022";"Warmond";;
"2023";"Warmond";;
"2020";"Warnsveld";;
"2021";"Warnsveld";;
"2022";"Warnsveld";;
"2023";"Warnsveld";;
"2020";"Waspik";;
"2021";"Waspik";;
"2022";"Waspik";;
"2023";"Waspik";;
"2020";"Wassenaar";26305;515
"2021";"Wassenaar";26949;527
"2022";"Wassenaar";27115;530
"2023";"Wassenaar";27093;529
"2020";"Wateringen";;
"2021";"Wateringen";;
"2022";"Wateringen";;
"2023";"Wateringen";;
"2020";"Waterland";17424;334
"2021";"Waterland";17312;332
"2022";"Waterland";17343;334
"2023";"Waterland";17609;339
"2020";"Weerselo";;
"2021";"Weerselo";;
"2022";"Weerselo";;
"2023";"Weerselo";;
"2020";"Weert";50105;480
"2021";"Weert";50011;479
"2022";"Weert";50346;483
"2023";"Weert";50872;488
"2020";"Weesp";19738;866
"2021";"Weesp";20445;897
"2022";"Weesp";20766;914
"2023";"Weesp";;
"2020";"Wehl";;
"2021";"Wehl";;
"2022";"Wehl";;
"2023";"Wehl";;
"2020";"Werkendam";;
